FMEP, 155000.0
IMEP, 465100.73932761507
BMEP, 246338.63284968678
Wc gross, 205.730914871795
W comp, -59.68359554791499
W exp, 265.41451041971
Wc pumping, 28.204290792616522
W intake, 17.635518485541265
W exhaust, -45.83980927815779
PMEP, 63762.106477928275
W brake, 108.96450600723483
Pone cyl, 0.0
P total, 9080.375500602902
T total, 34.68447950523589
eff mech, 0.5296457563275703
eff therm, 0.228359302360054
eff vol, 0.2508956185158828
fuel cons, 3.3682062036687372
bsfc, 0.37093247998886186
Wf one, -68.56211807194364
Pf one, -1428.3774598321593
Pf total, -5713.509839328637
chem eng, 38.8162961204445
heat coolant, -156.2604136266807
H total, -157.22175704110066
